operation_name,operation_type,city,total_floor_area,avg_hrs_wk,annual_flow_mega_liters,electricity_quantity,natural_gas_quantity,ghg_emissions_kg,energy_intensity_ek_wh_sqft,energy_intensity_ek_wh_mega_litre
Algonguin Island Sewage Pumping Station,Sewage Pumping,Toronto,75,168,11.45,12070.282618,0,531.0924351919999,160.93777214458987,1054.1775467986238
Armour Heights Pumping Station,Water Pumping,Toronto,5780,168,20485.928,2921300.915162,0,128537.24026712799,505.4174891434509,142.60096429359442
Berry Rd Sewage Pumping Station,Sewage Pumping,Toronto,7244,168,64.62946594,12227.929153,0,538.0288827319999,1.6880149230680292,189.2013174618661
Bloor Islington Storm Pumping Station,Other,Etobicoke,355,168,17.44382188,27513.834175999997,0,1210.6087037439997,77.50408117457951,1577.2890256648118
Brule Gardens Sewage Pumping Station,Sewage Pumping,Toronto,151,168,39.53428578,10493.270241,0,461.703890604,69.49214545006184,265.4231322491173
Cumber Sewage Pumping Station,Sewage Pumping,Toronto,635,168,1594.064139,354921.29387100006,0,15616.536930324002,558.9335003302749,222.65275532286756
Eglinton Pumping Station,Water Pumping,Toronto,10075,168,30709.854,5295759.352903,0,233013.41152773198,525.6358728106173,172.44567227727524
Eglinton-Bellamy Storm Pumping Station,Other,Scarborough,441,168,43.56,45932.41198,0,2021.0261271199997,104.15556318605421,1054.4674785364991
Ellesmere Pumping Station,Water Pumping,Toronto,6243,168,103876.2,26834238.310645,0,1180706.4856683798,4298.310126537129,258.3301094954503
F.J. Horgan Filtration Plant,Water Treatment,Toronto,325447,168,109018.45,45505671.675161,341551.29757600004,2647781.506125724,150.90485472294571,450.48826372984126
Greyabbey Trail Sewage Pumping Station,Sewage Pumping,Toronto,1001,168,36.63762295,51753.18266,0,2277.1400370399997,51.70169660165942,1412.57521998329
High Level Pumping Station,Water Pumping,Toronto,46403,168,58648.38399999999,10650332.179032,0,468614.61587740795,229.51913788798308,181.5971017277489
Highland Creek Treatment Plant,Sewage Treatment,Toronto,255395,168,59200,32762924.658386998,7354305.28148,15341205.666966228,432.2739624551278,1864.8751459666785
Humber Treatment Plant,Sewage Treatment,Toronto,224869,168,94168,52764325.277096994,1402749.4260789999,4972826.727481578,300.4994788407852,717.5794039105484
Island Filtration Plant,Water Treatment,Toronto,64196,168,94598.16,8691249.398387,41771.502775,461363.11377377796,142.25585456616415,96.53736224604657
Islington Storm Pumping Station,Other,Etobicoke,450,168,24.010565569999997,34515.889600999995,0,1518.6991424439998,76.70229648268148,1437.5352099299455
John Street Pumping Station,Water Pumping,Toronto,112773,168,100754.44,43888778.163871005,0,1931106.2392103241,389.1796887001323,435.6032452146032
Keele Pumping Station,Water Pumping,Toronto,2745,168,38457.808,6838837.902581001,0,300908.867713564,2491.3903088302104,177.82777421268858
Kennedy Park Sewage Pumping Station,Sewage Pumping,Toronto,151,168,119.0484,15310.390641,0,673.6571882039999,101.39373797545919,128.6069735863257
Kennedy Pumping Station,Water Pumping,Toronto,5360,168,33700.523,3869647.0125809996,0,170264.468553564,721.9520776325033,114.82501728861057
Lawrence Pumping Station,Water Pumping,Toronto,15629,168,18041.49,3877585.8858060003,0,170613.778975464,248.10301634230328,214.92692911804167
Long Branch Sewage Pumping Station,Sewage Pumping,Toronto,3068,168,1998.324397,257819.760808,0,11344.069475552,84.03547426890592,129.01850942922925
Main Treatment Plant,Sewage Treatment,Toronto,378438,168,201229,134991190.008387,5758495.334400001,16823168.54238503,517.3442849212603,972.9349969290306
Mimico Sewage Pumping Station,Sewage Pumping,Toronto,4435,168,6778.461074,773800.6574189999,0,34047.22892643599,174.47663620933616,114.15627723473536
New Toronto Pumping Station,Sewage Pumping,Toronto,2067,168,296.0839422,277885.872581,0,12226.978393563999,134.439782505468,938.5413757126149
North Queen St Storm Pumping Station,Other,Etobicoke,676,168,33.7880313,26104.116585,2490.029697,5854.737257069999,77.50124458831566,1550.5739555089554
North Toronto Treatment Plant,Sewage Treatment,Toronto,21786,168,6422,2758147.233548,0,121358.47827611199,126.60234672854769,429.48594298164744
Parkdale Pumping Station,Water Pumping,Toronto,11227,168,19344.806,5698172.086643999,0,250719.57181233595,507.54394130468455,294.55947136547627
R.C. Harris Filtration Plant,Water Treatment,Toronto,115368,168,113448.45,42773402.246451996,33512.35,1945368.0403438879,373.8243005195455,380.14941501923494
R.L. Clark Filtration Plant,Water Treatment,Toronto,401612,168,130826.31,54054084.125484,66999.549983,2505008.8509891657,136.35450812027113,418.58252147598085
Richview Pumping Station,Water Pumping,Toronto,2357,168,59019.24,12591393.784839,0,554021.326532916,5342.14944801857,213.34477111158617
Rosehill Pumping Station,Water Pumping,Toronto,1550,168,34480.818,10401488.169032,0,457665.479437408,6710.665489397443,301.661390648158
Scarborough Pumping Station,Water Pumping,Toronto,9160,168,13805.88,4698092.651935,0,206716.07668514,512.8943479608132,340.2979185188521
St. Albans Pumping Station,Water Pumping,Toronto,3240,168,28736.175,4817436.234516,0,211967.19431870402,1486.8692306070918,167.64431268834414
