Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Etobicoke,46145,70,0,1259536.64,34119.04482,"110,159",35.1
51 Lisgar,"Administrative offices and related facilities, including municipal council chambers",51 Lisgar,Toronto,10053,70,0,70947.46494,5120.625161,"12,282",12.4
Archives and Records Centre,"Administrative offices and related facilities, including municipal council chambers",255 Spadina Rd,Toronto,39590,70,0,480158.2083,46939.28928,"106,456",24.6
Atlantic Ave Storage Bldg,"Administrative offices and related facilities, including municipal council chambers",98 Atlantic Ave,Toronto,43002,70,0,105617.7263,26977.43636,"55,051",9.1
Central Services Office,"Administrative offices and related facilities, including municipal council chambers",329 Chaplin Cres.,Toronto,18299,70,0,181378.168,21082.35492,"46,580",22.1
City Clerk's Office,"Administrative offices and related facilities, including municipal council chambers",88 Sunrise Ave,North York,34843,70,0,710224.4936,48343.39698,"117,406",35
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,780061,70,0,13448190.39,0,"2,693,549",39.8
Cliffcrest Employment Services,"Administrative offices and related facilities, including municipal council chambers",2989 Kingston Rd,Scarborough,8530,70,0,112550.6094,0,"4,052",13.2
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,North York,132999,70,0,7361109.369,256042.3533,"751,401",75.7
Crossways Employment Services,"Administrative offices and related facilities, including municipal council chambers",2340 Dundas St W,Toronto,18277,70,0,852922.5526,44993.61161,"116,179",72.7
Dyas Road,"Administrative offices and related facilities, including municipal council chambers",14 & 18 Dyas Rd,North York,102516,70,0,1655333.667,105208.7494,"259,456",27
East Court & Municipal Services,"Administrative offices and related facilities, including municipal council chambers",1530 Markham Rd,Scarborough,120104,70,0,1950837.441,105860.7137,"271,333",25.5
East York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",850 Coxwell Ave,Toronto,67544,70,0,1789712.88,104399.5668,"262,756",42.8
Eastern District Office,"Administrative offices and related facilities, including municipal council chambers",1 Eastville Ave.,Scarborough,19849,70,0,96300.75091,32070.23896,"64,390",21.9
Election Services Building,"Administrative offices and related facilities, including municipal council chambers",89 Northline Road,East York,55004,70,0,257136.3267,71888.49756,"145,823",18.5
Etobicoke Civic Centre,"Administrative offices and related facilities, including municipal council chambers",399 The West Mall,Etobicoke,154925,70,0,2723553.058,187349.213,"453,953",30.3
Etobicoke North Office,"Administrative offices and related facilities, including municipal council chambers",220 Attwell Dr,Etobicoke,20279,70,0,478213.0076,44398.22722,"101,559",46.7
Etobicoke South Office,"Administrative offices and related facilities, including municipal council chambers",779 The Queensway,Etobicoke,22497,70,0,455275.5274,29544.3875,"72,515",34.1
Fire Services - East Command Offices,"Administrative offices and related facilities, including municipal council chambers",3 Dohme Ave,East York,25898,70,0,137418.2287,22153.38182,"47,032",14.3
