Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2016 - Dec/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
Stephenson Building,"Administrative offices and related facilities, including municipal council chambers",2160 Yonge Street,Toronto,M7A 2G5,"135,034.00",Square meters,70,23516.00224,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,,Litre,,Litre,,Litre,,Metric Tonne,,Metric Tonne,26.73000,Giga Joule,No,0.00000,20.50600,Giga Joule,No,0.00000,,,,,max. 255 characters
#11 Police Division - NEW,Police stations and associated offices and facilities,2054 Davenport Rd,Toronto,M6N 1C8,62000,Square feet,168,0,1159026.483,kWh,39211.12165,Cubic meter,,,,,,,,,,,,,,,,,,,"125,106",25.4,,2054DA,Police Stations
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,M6M 4C2,25780,Square feet,168,0,642755.5222,kWh,9369.762499,Cubic meter,,,,,,,,,,,,,,,,,,,"45,990",28.8,,12PD,Police Stations
#13 Police Division,Police stations and associated offices and facilities,1435 Eglinton Ave.W.,Toronto,M6C 3M8,20344,Square feet,168,0,529545.3046,kWh,51447.79164,Cubic meter,,,,,,,,,,,,,,,,,,,"120,536",52.7,,13PD,Police Stations
#14 Police Division - NEW,Police stations and associated offices and facilities,11 St. Annes Rd.,Toronto,M6J 2C1,64200,Square feet,168,0,1450237.353,kWh,31858.79587,Cubic meter,,,,,,,,,,,,,,,,,,,"124,024",27.8,,11SA,Police Stations
#21 Police Division,Police stations and associated offices and facilities,791 Islington Ave,Toronto,M8Z 4C9,7492,Square feet,168,0,180343.2024,kWh,15846.79671,Cubic meter,,,,,,,,,,,,,,,,,,,"37,886",46.4,,21PD,Police Stations
#22 Police Division,Police stations and associated offices and facilities,3699 Bloor St.W.,Toronto,M9A 1A2,32270,Square feet,168,0,493995.2565,kWh,78515.80645,Cubic meter,,,,,,,,,,,0,0,  ,,  ,0,  ,  ,"170,131",41.0,,22PD,Police Stations
#23 Police Division New,Police stations and associated offices and facilities,5230 Finch Ave W.,Toronto,M9V 0A1,57264,Square feet,168,0,890713.1403,kWh,63298.04927,Cubic meter,,,,,,,,,,,,,,,,,,,"158,825",27.2,,23PDN,Police Stations
