operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
Bloordale Park,Other,Toronto,78395.83192699999,3449.4166047879994,2015
Burrows Hall Park,Other,Scarborough,12382.955588,544.850045872,2015
High Park Valleymede Sewage Pumping Stn,Sewage Pumping,Toronto,134832.687015,5932.63822866,2015
Highfield Sewage Pumping Station,Sewage Pumping,Toronto,209.87575700000002,9.234533308,2015
Pantry Park Storm Pumping Station,Other,Toronto,8453.288202,371.944680888,2015
Lower Simcoe Pumping Station,Sewage Pumping,Toronto,70259.223545,3091.4058359799997,2015
0 Main St Ple70,Other,Toronto,2378.1906010000002,104.640386444,2015
0 Parkside Dr Pole 140,Other,Toronto,1817.807995,79.98355177999998,2015
St Clair Comm Tower,Other,Toronto,84309.281294,3709.608376936,2015
Elizabeth Simcoe Park,Other,Toronto,13867.737506,610.1804502639999,2015
0 Wickman Rd-Near Fordhs,Street lighting,Toronto,231194.097064,10172.540270816,2015
100 Rosedale Valley,Other,Toronto,4966.859438,218.541815272,2015
101 Old Sheppard,Other,Toronto,5277.998174,232.231919656,2015
1030 Weston Rd,Street lighting,Toronto,719.221622,31.645751368,2015
10 Arundel Ave,Parking garages,Toronto,6660.325113999999,293.05430501599994,2015
10 Daventry Rd,Other,Toronto,200.983105,8.84325662,2015
10 Kingsdale Ave,Parking garages,Toronto,6449.6031140000005,283.782537016,2015
Redlands Sewage Pumping Station,Sewage Pumping,Toronto,160470.500782,7060.702034407999,2015
110 Queen St W,Parking garages,Toronto,5775449.23,254119.76612000001,2015
1119 Queen St W,Parking garages,Toronto,2953.748841,129.964949004,2015
111 St Andrews Rd,Other,Toronto,224.51745900000003,9.878768196000001,2015
113 Spadina Rd,Other,Toronto,8249.291342,24638.650702857998,2015
113 Spadina Lot,Parking garages,Toronto,6475.578354,284.925447576,2015
1155 King St W,Parking garages,Toronto,0,1114.607178696,2015
Marylin Bell Park Water Equipment Shed,Storage,Toronto,22908.208553999997,1007.9611763759998,2015
115 Broadview Ave,Parking garages,Toronto,12992.145118,571.654385192,2015
Riverwood Sewage Pumping Station,Other,Toronto,24382.734447,1072.840315668,2015
Littles Park,Other,Toronto,220.73403900000002,9.712297716,2015
Manchester Park,Other,Toronto,7814.423318,343.834625992,2015
117 Hammersmith Ave,Parking garages,Toronto,4254.870538,187.214303672,2015
119 Annette Park Lighting,Other,Toronto,1267.514312,55.770629727999996,2015
11 Grenview Blvd,Parking garages,Toronto,5857.446269,257.727635836,2015
Port Union Sewage Pumping Station,Sewage Pumping,Toronto,57896.61235,2547.4509434,2015
#14 Police Division - NEW,Police Station,Toronto,1454125.54,127739.92346024,2015
Martin Grove Sewage Pumping Station,Sewage Pumping,Toronto,22384.596804999997,984.9222594199998,2015
1231 Queen St W,Other,Toronto,1307.9133530000001,57.548187532,2015
Islington Storm Pumping Station,Other,Etobicoke,34285.415809,1508.5582955959999,2015
Thomas Riley Park,Other,Toronto,21814.691301000003,959.846417244,2015
Assessment & Referral Ctr (129 Peter),Social housing,Toronto,245220.193833,54566.89857865199,2015
#12 Police Division,Police Station,Toronto,636025.55424,46603.16501439,2015
12 Woodycrest Ave,Parking garages,Toronto,3772.635624,165.995967456,2015
1325 Queen St W,Parking garages,Toronto,13069.915341,575.076275004,2015
Berry Rd Sewage Pumping Station,Sewage Pumping,Toronto,12351.214140999999,543.4534222039999,2015
132 Wellington St W,Parking garages,Toronto,715417.551379,31478.372260675995,2015
134 Spadina Rd,Other,Toronto,19299.342238,20711.254830841997,2015
135 Greenlaw Ave,Parking garages,Toronto,6950.267788,305.811782672,2015
Leonard Linton Park,Other,Toronto,5708.563887,251.176811028,2015
136 Spadina Rd,Other,Toronto,4771.091473,209.92802481200002,2015
139 Marcos Blvd,Other,Toronto,203.54710599999999,8.956072663999999,2015
Norman Jewison Park,Other,Toronto,5005.1924819999995,220.22846920799995,2015
#13 Police Division,Police Station,Toronto,522653.35652900004,119477.97381793601,2015
Greyabbey Trail Sewage Pumping Station,Sewage Pumping,Toronto,0,2347.979479164,2015
146 Harrison St,Parking garages,Toronto,4831.461285,212.58429654,2015
149 Hiawatha Rd,Parking garages,Toronto,5047.634515000001,222.09591866000002,2015
14 Castlefield Ave,Parking garages,Toronto,37023.658541000004,1629.040975804,2015
Cloud Gardens,Other,Toronto,103324.64493699999,50756.7344257824,2015
Richview Park,Other,Toronto,9434.77304,415.13001376,2015
Elmcrest Park,Other,Toronto,41473.940090000004,1824.85336396,2015
Rotary Peace Park,Other,Toronto,7716.43639,4846.7796370099995,2015
Danforth Avenue Parkettle,Other,Toronto,2298.742085,101.14465173999999,2015
Sisken Trail Park,Other,Toronto,922.035574,40.569565256,2015
15 Wellesley St E,Parking garages,Toronto,34870.282165000004,1534.29241526,2015
1608 Danforth Ave,Parking garages,Toronto,7133.53121,313.87537324,2015
161 Dynevor Rd,Other,Toronto,2871.039201,126.32572484399999,2015
161 Spadina Rd,Other,Toronto,3048.4071480000002,13771.821207822,2015
Woodbine Park,Other,Toronto,228197.301057,10040.681246508,2015
1699 Lake Shore Blvd W,Other,Toronto,9754.746019999999,429.2088248799999,2015
Osler Walkway,Other,Toronto,17537.565063000002,771.652862772,2015
16 Fuller Ave,Parking garages,Toronto,8287.934942,364.66913744799996,2015
16 Lipton Ave,Parking garages,Toronto,7336.298000000001,322.797112,2015
16 Rosehill Ave,Parking garages,Toronto,1093677.36,48121.80384,2015
170 Sumach Park,Other,Toronto,2909.518626,128.018819544,2015
1739 Bayview,Other,East York,908.869776,39.990270144,2015
17MILL,Other,Toronto,2536.701159,111.614850996,2015
180 Roxborough,Other,Toronto,1950.251355,85.81105962,2015
1845 Kingston Rd,Other,Toronto,408.568188,17.977000272,2015
High Park - Lot Cytor,Other,Toronto,36322.286149,1598.180590556,2015
18 Applebaum,Other,Toronto,3266.525439,143.727119316,2015
18 Ferrier Ave,Parking garages,Toronto,2312.0238,101.7290472,2015
Nightstar Park,Other,Toronto,0,49.312157268,2015
18 Ossington Ave,Parking garages,Toronto,4490.704194,197.59098453599998,2015
Bluehaven Park,Other,North York,22027.315593,969.2018860919999,2015
Maryland Park Tennis Clubhouse,Other,Toronto,12887.261553,567.039508332,2015
Rean Park,Other,Toronto,3846.949424,169.265774656,2015
Jeff Healey Park,Other,Toronto,3775.348071,166.11531512399998,2015
Ellis Ave Sewage Pumping Station,Sewage Pumping,Toronto,23485.466581,1033.360529564,2015
1 Garrison Road,Parking garages,Toronto,8651.50879,380.66638675999997,2015
1 Norton Ave,Parking garages,Toronto,12155.03382,534.82148808,2015
Erwin Krickhan Park,Other,Toronto,4920.42569,216.49873036,2015
1 Simcoe St,Street lighting,Toronto,774306.732155,34069.49621482,2015
2000 Lake Shore,Street lighting,Toronto,6620.863273999999,291.31798405599994,2015
200 Mount Olive Dr,Other,Toronto,11627.239528999999,511.5985392759999,2015
201 CLAREMONT ST,Parking garages,Toronto,8775.702826,386.130924344,2015
#11 Police Division - NEW,Police Station,Toronto,1151401.84,117110.59557887,2015
Long Branch Park,Other,Toronto,285.077766,12.543421704,2015
20 Augusta Ave,Parking garages,Toronto,22933.018071,1009.0527951239999,2015
20 Castle Knock Rd,Parking garages,Toronto,12279.887153,540.315034732,2015
20 Charles St E,Parking garages,Toronto,945564.02,79597.65714642999,2015
20 Saint Andrews St,Parking garages,Toronto,1271583.39,55949.66915999999,2015
210 Leslie St,Other,Toronto,921.3750620000001,40.540502728,2015
Jean Augustine Park,Other,Toronto,5215.601324,229.486458256,2015
Cedarvale Park,Other,Toronto,858.066036,37.754905584,2015
21 Bedford Park Ave,Parking garages,Toronto,5193.969858,228.534673752,2015
Midland Sewage Pumping Station,Sewage Pumping,Toronto,93491.963707,4113.6464031079995,2015
