Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2015 - Dec/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
Stephenson Building,"Administrative offices and related facilities, including municipal council chambers",2160 Yonge Street,Toronto,M7A 2G5,"135,034.00",Square meters,70,23516.00224,"2,181,065.00000",kWh,"125,300.00000",Cubic meter,,Litre,,Litre,,Litre,,Metric Tonne,,Metric Tonne,26.73000,Giga Joule,No,0.00000,20.50600,Giga Joule,No,0.00000,,,,,max. 255 characters
Bloordale Park,Other,20 Toledo Rd,Toronto,M9C 2H3,0,Square feet,100,0,78395.83193,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"3,449",,,0BLOORD,Outdoor Recreational Facilities
Burrows Hall Park,Other,161 Burrows Hall Blvd,Scarborough,M1B 1M7,0,Square feet,100,0,12382.95559,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,545,,,0BURRHA,Outdoor Recreational Facilities
High Park Valleymede Sewage Pumping Stn,Facilities related to the pumping of sewage,66 Ellis Park Rd,Toronto,M6S 1G8,0,Square feet,168,19.91994719,134832.687,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"5,933",,"6,768.8",0ELLIVAL,Sewage Pumping Facilities
Highfield Sewage Pumping Station,Facilities related to the pumping of sewage,1 Highfield Rd,Toronto,M4L 2T7,0,Square feet,168,0,209.875757,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,9,,,0HIGHF,Sewage Pumping Facilities
Pantry Park Storm Pumping Station,Other,70 Kew Beach Ave,Toronto,M4L 1B8,78,Square feet,168,0,8453.288202,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,372,108.4,,0KEWB,Storm Pumping Facilities
Lower Simcoe Pumping Station,Facilities related to the pumping of sewage,5 Lower Simcoe,Toronto,M5V 3L9,0,Square feet,168,878.2411401,70259.22355,kWh,0,Cubic meter,,,,,,,,,,,  ,0,  ,,  ,0,  ,  ,"3,091",,80.0,0LOWER,Sewage Pumping Facilities
0 Main St Ple70,Other,0 Main St Ple70,Toronto,M4E 2V4,0,Square feet,168,0,2378.190601,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,105,,,0MAIN,Water Misc Service
0 Parkside Dr Pole 140,Other,0 Parkside Dr Pole 140,Toronto,M6R 2Y8,0,Square feet,168,0,1817.807995,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,80,,,0PKSIDE,Water Misc Service
